DEBUG: General     , 1624907715557> LoggerManager.init                  > Initializing...
LOG  : General     , 1624907715595> cachedir set to "C:\Users\Home\Zomboid"
LOG  : General     , 1624907715603> 29-06-2021 04:15:15
LOG  : General     , 1624907715603> cachedir is "C:\Users\Home\Zomboid"
LOG  : General     , 1624907715604> LogFileDir is "C:\Users\Home\Zomboid\Logs"
LOG  : General     , 1624907715604> ===== System specs =====
LOG  : General     , 1624907715605> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1624907715605> Processor: Intel64 Family 6 Model 94 Stepping 3, GenuineIntel
LOG  : General     , 1624907715606> Processor cores: 4
LOG  : General     , 1624907715606> Available processors (cores): 4
LOG  : General     , 1624907715607> Memory free: 1739.625 MB
LOG  : General     , 1624907715607> Memory max: 2014.75 MB
LOG  : General     , 1624907715607> Memory  total available to JVM: 1766.75 MB
LOG  : General     , 1624907715608> C:\, Total: 110.37643 GB, Free: 17.165882 GB
LOG  : General     , 1624907715609> D:\, Total: 931.51074 GB, Free: 391.62662 GB
LOG  : General     , 1624907715865> Mobo = [Product=B150M-DS3H-CF]
LOG  : General     , 1624907716078> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3301,Name=Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz]
LOG  : General     , 1624907716299> Graphics = [AdapterRAM=3221225472,DriverVersion=30.0.14.7111,Name=NVIDIA GeForce GTX 1060 3GB]
LOG  : General     , 1624907716525> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296Ț]
LOG  : General     , 1624907716754> Sound = { [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)] }
LOG  : General     , 1624907716962> Memory RAM = { [Capacity=8589934592,Manufacturer=Samsung], [Capacity=8589934592,Manufacturer=Samsung] }
LOG  : General     , 1624907716962> ========================
LOG  : General     , 1624907716963> -- listing properties --
LOG  : General     , 1624907716963> java.runtime.name=Java(TM) SE Runtime Environment
LOG  : General     , 1624907716964> sun.boot.library.path=D:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1624907716964> java.vm.version=25.121-b13
LOG  : General     , 1624907716964> user.country.format=US
LOG  : General     , 1624907716965> java.vm.vendor=Oracle Corporation
LOG  : General     , 1624907716965> java.vendor.url=http://java.oracle.com/
LOG  : General     , 1624907716965> path.separator=;
LOG  : General     , 1624907716966> java.vm.name=Java HotSpot(TM) 64-Bit Server VM
LOG  : General     , 1624907716966> file.encoding.pkg=sun.io
LOG  : General     , 1624907716966> user.script=
LOG  : General     , 1624907716967> user.country=KR
LOG  : General     , 1624907716967> sun.os.patch.level=
LOG  : General     , 1624907716967> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1624907716968> user.dir=D:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1624907716968> java.runtime.version=1.8.0_121-b13
